sample_idx,num_outages,metadata_num_retries,metadata_gen_scale_factor,saved_state_valid_count,replay_state_valid_count,state_valid_match_all,outaged_line_indices,H_max_abs_err,H_mae,H_rmse,Y_real_max_abs_err,Y_real_mae,Y_real_rmse,Y_imag_max_abs_err,Y_imag_mae,Y_imag_rmse,Y_abs_max_abs_err,Y_abs_mae,Y_abs_rmse,worst_bus_pos,worst_bus_id,worst_bus_type,worst_feature_max_abs_err,Pd_mae,Pd_max_abs_err,Qd_mae,Qd_max_abs_err,Pg_mae,Pg_max_abs_err,Qg_mae,Qg_max_abs_err,Vm_mae,Vm_max_abs_err,Va_mae,Va_max_abs_err
5850,1,0,1.2140657991882802,39,39,True,[17],8.412825991399586e-12,1.418945682699235e-13,9.486059672401581e-13,7.105427357601002e-15,4.6715498735049324e-18,1.8219044506669235e-16,0.0,0.0,0.0,0.0,0.0,0.0,30,30,SLACK,8.412825991399586e-12,0.0,0.0,0.0,0.0,2.1134091627736314e-14,8.242295734817162e-13,8.063749098651804e-13,8.412825991399586e-12,6.803674432959293e-16,2.4424906541753444e-15,2.317804068332827e-14,4.618527782440651e-14
28382,1,0,1.2308551024448295,39,39,True,[4],8.526512829121202e-12,2.1826747436988565e-13,1.048300084648256e-12,7.105427357601002e-15,4.6715498735049324e-18,1.8219044506669235e-16,2.842170943040401e-14,1.868619949401973e-17,7.287617802667694e-16,2.842170943040401e-14,1.868619949401973e-17,7.287617802667694e-16,34,34,PV,8.526512829121202e-12,0.0,0.0,0.0,0.0,4.008189791467232e-14,1.5631940186722204e-12,1.1839646072659003e-12,8.526512829121202e-12,9.137989510376288e-16,1.9984014443252818e-15,8.464454208770361e-14,1.3855583347321954e-13
28765,2,0,1.0347848048403916,39,39,True,"[22, 18]",5.6274984672199935e-12,1.3361249428793341e-13,6.855845739490174e-13,7.105427357601002e-15,5.8394373418811655e-18,1.8779761224706615e-16,2.842170943040401e-14,1.868619949401973e-17,7.287617802667694e-16,2.842170943040401e-14,1.868619949401973e-17,7.287617802667694e-16,31,31,PV,5.6274984672199935e-12,0.0,0.0,0.0,0.0,5.1559895953873936e-14,2.0108359422010835e-12,6.810734312705627e-13,5.6274984672199935e-12,5.408778837917429e-16,1.887379141862766e-15,6.850076061937216e-14,1.3145040611561853e-13
42901,3,0,1.1047786976415197,34,34,True,"[29, 21, 0]",1.8189894035458565e-11,2.956049460292764e-13,1.715855009121179e-12,0.0,0.0,0.0,2.842170943040401e-14,3.737239898803946e-17,1.0306247933924268e-15,2.842170943040401e-14,3.737239898803946e-17,1.0306247933924268e-15,30,30,SLACK,1.8189894035458565e-11,0.0,0.0,0.0,0.0,4.664075393707324e-13,1.8189894035458565e-11,9.322685074062648e-13,1.6711965145077556e-11,7.230683288584353e-16,2.886579864025407e-15,3.742305610698028e-13,4.973799150320701e-13
50724,1,0,1.0362548688297308,39,39,True,[27],2.3376856006507296e-12,3.87175749675575e-14,2.2708209496831751e-13,0.0,0.0,0.0,2.842170943040401e-14,1.868619949401973e-17,7.287617802667694e-16,2.842170943040401e-14,1.868619949401973e-17,7.287617802667694e-16,36,36,PV,2.3376856006507296e-12,0.0,0.0,0.0,0.0,2.8057328540270624e-14,1.0942358130705543e-12,1.765425412696249e-13,2.3376856006507296e-12,2.1919787922086425e-16,8.881784197001252e-16,2.7486382116228617e-14,5.1514348342607263e-14
